,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.7758479701684539,0.2758908722976403,2.812155268882702,0.004921074193636258,0.23511179680173955,1.3165841435351682
rat_pressure_idx,6.513622418039297e-16,2.312753399529263e-16,2.81639297097783,0.0048566221874344105,1.9807090498393674e-16,1.1046535786239227e-15
season_1,-1.6229176301382278,0.5832625609695476,-2.782482090810833,0.005394484248903306,-2.7660912431691385,-0.47974401710731684
rat_pressure_idx:season_1,0.0,0.0,,,0.0,0.0
hours_after_sunset,0.15261329454815079,0.1802162165539119,0.8468344162718361,0.3970874221043551,-0.20060399932758763,0.5058305884238892
rat_present_during_landing,0.7758479701684541,0.27589087229764025,2.8121552688827034,0.00492107419363624,0.23511179680173988,1.3165841435351684
